Hei.	Hello.
Valitettavasti minulla ei ole antaa tasarahaa.	Unfortunately, I don't have exact change.
Ei haittaa, voin rikkoa satasen.	No worries, I can break a hundred.
Skannasitko jo kaiken?	Did you scan everything already?
Kyllä, kaikki on skannattu.	Yes, everything has been scanned.
Oletteko seuraava jonossa?	Are you next in line?
Kyllä, olen.	Yes, I am.
Voit mennä minun edelleni, minulla on enemmän tavaraa.	You can go ahead of me, I have more stuff.
Se on ystävällistä, kiitos.	That's kind of you, thanks.
Ei kestä.	You're welcome.
Näppäile tunnuslukusi, kiitos.	Please enter your PIN.
Maksu hyväksytty.	Payment approved.
Maksu hylätty. Tarkista korttisi.	Payment declined. Please check your card.
Yritän uudelleen.	I'll try again.
Nyt se onnistui.	It worked now.
Saisinko tämän lahjaksi paketoituna?	Could I have this gift-wrapped?
Valitettavasti emme tarjoa paketointipalvelua.	Unfortunately, we don't offer a gift-wrapping service.
Ymmärrän.	I understand.
Onko tämä tarjous voimassa tänään?	Is this offer valid today?
Kyllä, se on voimassa viikon loppuun asti.	Yes, it's valid until the end of the week.
Haluaisin ostaa myös arpalippuja.	I would also like to buy lottery tickets.
Minkälaisia arpoja haluaisit?	What kind of lottery tickets would you like?
Otetaan kaksi Ässä-arpaa.	We'll take two Ässä scratch cards.
Selvä. Tässä ne ovat.	Alright. Here they are.
Onnea peliin!	Good luck!
Kiitos, samoin.	Thanks, you too.
Voinko jättää ostoskärryt tähän?	Can I leave the shopping cart here?
Kyllä, me keräämme ne myöhemmin.	Yes, we will collect them later.
Unohtui ostaa perunoita.	I forgot to buy potatoes.
Voit jättää tavarasi tänne siksi aikaa.	You can leave your things here for that time.
Kiitos, olen heti takaisin.	Thanks, I'll be right back.
Ei kiirettä.	No rush.
Tässä olisi vielä nämä.	Here are these as well.
Selvä juttu.	Alright.
Laitetaan ne samaan kuittiin.	Let's put them on the same receipt.
Kuitille, kiitos.	On the receipt, please.
Se on siinä, kiitos.	That's it, thank you.
Kaunista päivää!	Have a beautiful day!
Kiitos samoin!	Thanks, same to you!
Tarvitsetko apua pakkaamisessa?	Do you need help with packing?
Ei kiitos, pärjään kyllä.	No thank you, I can manage.
Tämä kassi taitaa olla liian täynnä.	This bag seems to be too full.
Voin antaa sinulle toisen kassin.	I can give you another bag.
Se olisi hienoa, kiitos.	That would be great, thank you.
Ole hyvä.	Here you go.
Nyt mahtuu kaikki hyvin.	Now everything fits well.
Loistavaa.	Excellent.
