Meille tulee vauva.	We're having a baby.
Olemme kertoneet lähimmille ystävillemme.	We have told our closest friends.
Pian täällä on yksi pieni asukas lisää.	Soon there will be one more little resident here.
Säilytimme tämän uutisen vain meille hetken.	We kept this news to ourselves for a while.
Olemme yllättyneitä mutta niin onnellisia.	We are surprised but so happy.
Tämä oli iloinen yllätys.	This was a happy surprise.
Olemme yrittäneet tätä jo jonkin aikaa.	We have been trying for this for a while.
Toivottavasti kaikki sujuu hyvin.	I hope everything goes well.
Vauva potkii jo.	The baby is already kicking.
Tunsin ensimmäisen potkun eilen.	I felt the first kick yesterday.
On aika ostaa äitiysvaatteita.	It's time to buy maternity clothes.
Meistä tulee nelihenkinen perhe.	We will become a family of four.
Isovanhemmat olivat onnesta soikeita.	The grandparents were over the moon.
Sinusta tulee setä.	You're going to be an uncle.
Tämä on elämämme onnellisinta aikaa.	This is the happiest time of our lives.
Mietin, miltä hän näyttää.	I wonder what he/she will look like.
Toivon, että hän saa sinun silmäsi.	I hope he/she gets your eyes.
Vatsani on alkanut näkyä.	My belly has started to show.
On uskomatonta ajatella, että sisälläni kasvaa pieni elämä.	It's incredible to think a little life is growing inside me.
Odotusaika on ollut toistaiseksi helppo.	The pregnancy has been easy so far.
Meillä on ensimmäinen neuvolakäynti ensi viikolla.	We have our first maternity clinic visit next week.
Kuuntelimme sydänääniä kotona.	We listened to the heartbeats at home.
Onko sinulla neuvoja tuleville vanhemmille?	Do you have any advice for future parents?
Järjestämme pienet juhlat uutisen kunniaksi.	We are organizing a small party to celebrate the news.
Pian tarvitsemme isomman auton.	Soon we will need a bigger car.
On aika alkaa säästää tulevaisuutta varten.	It's time to start saving for the future.
Oletko valmis unettomiin öihin?	Are you ready for sleepless nights?
Tämä on alku jollekin uudelle ja kauniille.	This is the beginning of something new and beautiful.
Lisää rakkautta on tulossa elämäämme.	More love is coming into our lives.
Talon täyttää pian vauvan nauru.	The house will soon be filled with a baby's laughter.
Olemme odottaneet tätä hetkeä.	We have been waiting for this moment.
Meidän perhekuvamme on saamassa uuden jäsenen.	Our family photo is getting a new member.
On aika kaivaa vauvanvaatteet varastosta.	It's time to dig out the baby clothes from storage.
Tämä raskaus on ollut erilainen kuin edellinen.	This pregnancy has been different from the last one.
Olemme kertoneet uutiset myös töissä.	We have also shared the news at work.
Tuleva isä on todella innoissaan.	The father-to-be is really excited.
Tuleva äiti voi hyvin.	The mother-to-be is doing well.
Olemme virallisesti ilmoittaneet asiasta.	We have officially announced it.
Pieni potilas saapuu syyskuussa.	The little one arrives in September.
Seikkailu odottaa.	The adventure awaits.
Ja sitten heitä oli kolme.	And then there were three.
Päivitys: olemme raskaana!	Update: we're pregnant!
Seuraava lukumme alkaa nyt.	Our next chapter starts now.
Rakkaustarinamme seuraava osa.	The next part of our love story.
Pieni ihme on matkalla.	A little miracle is on the way.
Sydämemme ovat täynnä iloa.	Our hearts are full of joy.
Emme voisi olla onnellisempia tästä uutisesta.	We couldn't be happier about this news.
Elämämme on saamassa uuden tarkoituksen.	Our life is about to get a new meaning.
Universumilla oli meille suunnitelma.	The universe had a plan for us.
Paras lahja on matkalla.	The best gift is on its way.
Tulevaisuus näyttää valoisalta ja kiireiseltä.	The future looks bright and busy.
On aika aloittaa pesänrakennus.	It's time to start nesting.
Vauvakuume muuttui todeksi.	Baby fever became a reality.
Olemme valmiita syleilemään vanhemmuutta.	We are ready to embrace parenthood.
Tämä vauva on rukousvastauksemme.	This baby is the answer to our prayers.
Tuntuu kuin unelma olisi käynyt toteen.	It feels like a dream has come true.
Onnellisuutemme on nyt täydellinen.	Our happiness is now complete.
Vauva tekee perheestämme kokonaisen.	A baby will make our family whole.
Odottamisen arvoinen salaisuus.	A secret worth waiting for.
Kerromme ylpeinä, että odotamme vauvaa.	We are proud to announce that we are expecting a baby.
Valmistaudu hemmottelemaan tulevaa lapsenlastasi.	Get ready to spoil your future grandchild.
Joku pieni kutsuu sinua pian mummoksi.	Someone small will soon be calling you grandma.
On aika harjoitella vaipanvaihtoa.	It's time to practice changing diapers.
