Tänään on siivouspäivä.	Today is cleaning day.
Siivoan komeron ja laitan tavarat järjestykseen.	I'm cleaning the closet and organizing things.
Parvekkeen lattia pitää lakaista.	The balcony floor needs to be swept.
Tyhjennän ja pesen roskakaapin.	I'm emptying and washing the trash cabinet.
Pesen verhot kerran vuodessa.	I wash the curtains once a year.
Tämä siivousurakka tuntuu loputtomalta.	This cleaning project feels endless.
Minä imuroin, jos sinä moppaat.	I'll vacuum if you mop.
Puhdistan liesituulettimen suodattimen.	I'm cleaning the cooker hood filter.
Tarkistan vaatteiden pesuohjeet.	I'm checking the washing instructions on the clothes.
Oviin on jäänyt sormenjälkiä.	There are fingerprints left on the doors.
Pesen peitot ja tyynyt.	I'm washing the duvets and pillows.
Eteisen matto on täynnä hiekkaa.	The entryway rug is full of sand.
On tyydyttävää nähdä kättensä jälki.	It's satisfying to see the result of your work.
Silitysrauta on kuuma.	The iron is hot.
Missä pidämme puhtaita lakanoita?	Where do we keep the clean sheets?
Laitan vähän etikkaa huuhteluaineeksi.	I'll add a little vinegar as a fabric softener.
Tämä tahranpoistoaine on tehokasta.	This stain remover is effective.
Pesen saunan lauteet.	I'm washing the sauna benches.
Järjestän kengät kenkätelineeseen.	I'm arranging the shoes on the shoe rack.
Tuuletan asuntoa siivouksen jälkeen.	I'm airing out the apartment after cleaning.
Astianpesukoneen suodatin pitää puhdistaa.	The dishwasher's filter needs to be cleaned.
Vaihdan uuden roskapussin.	I'm putting in a new trash bag.
Tavarat pitäisi laittaa paikoilleen.	The things should be put in their places.
En pidä silittämisestä.	I don't like ironing.
Puhdistan kahvinkeittimen.	I'm cleaning the coffee maker.
Lattialle on kaatunut jotain.	Something has spilled on the floor.
Käytän kumihanskoja siivotessa.	I use rubber gloves when cleaning.
Onko meillä tarpeeksi pyykinpesuainetta?	Do we have enough laundry detergent?
Pyykinpesukoneen linkous on tehokas.	The spin cycle of the washing machine is effective.
Tuntuu hyvältä, kun koti on puhdas.	It feels good when the home is clean.
Pesen vain täysiä koneellisia.	I only wash full loads.
Voisitko viedä pullot kauppaan?	Could you take the empty bottles to the store?
Puhdistan mikron sisältä.	I'm cleaning the inside of the microwave.
Pölyä kertyy nopeasti.	Dust accumulates quickly.
Haluatko mieluummin imuroida vai pestä pyykkiä?	Would you rather vacuum or do laundry?
Siivotaan yhdessä, niin se sujuu nopeammin.	Let's clean together, it will be faster.
Laitan vaatteet kuivumaan henkareihin.	I'm hanging the clothes on hangers to dry.
Pesen sohvanpäälliset.	I'm washing the sofa covers.
Tämä moppi on jo vanha.	This mop is already old.
Ikkunanpesu on rankkaa työtä.	Window washing is hard work.
En löydä toista sukkaa.	I can't find the other sock.
On aika puhdistaa tietokoneen näppäimistö.	It's time to clean the computer keyboard.
Lakaistaan portaat.	Let's sweep the stairs.
Keittiön kaapit pitäisi pyyhkiä sisältä.	The kitchen cabinets should be wiped from the inside.
Käytän höyrypuhdistinta lattioille.	I use a steam cleaner for the floors.
Pesen kaikki pehmolelut.	I'm washing all the stuffed animals.
Puhdas koti tekee minut onnelliseksi.	A clean home makes me happy.
Vaihdan pölypussin imuriin.	I'm changing the dust bag in the vacuum cleaner.
Ripustan matot tuuletustelineelle.	I'm hanging the rugs on the airing rack.
Valot pois ja tuuletus päälle.	Lights off and ventilation on.
Muista puhdistaa myös jalkalistat.	Remember to clean the baseboards too.
Tämä paita pitää pestä käsin.	This shirt needs to be hand-washed.
Puhdistetaan hopealusikat.	Let's clean the silver spoons.
Siivous on hyvää liikuntaa.	Cleaning is good exercise.
Lopuksi vielä lattioiden pesu.	Finally, washing the floors.
Nyt voimme nauttia puhtaasta kodista.	Now we can enjoy a clean home.
