Täyteen, kiitos.	Full tank, please.
Pesetän auton samalla kertaa.	I'll get the car washed at the same time.
Mikä pesuohjelma on paras?	Which car wash program is the best?
Otan harjattoman pesun.	I'll take the brushless wash.
Maksa pesu kassalle etukäteen.	Pay for the wash at the cashier beforehand.
Aja hitaasti pesuhalliin.	Drive slowly into the car wash hall.
Älä nouse autosta pesun aikana.	Do not get out of the car during the wash.
Kuivaus kestää muutaman minuutin.	The drying takes a few minutes.
Kiitos ja hyvää päivänjatkoa!	Thank you and have a good day!
Tankki tuli aivan täyteen.	The tank got completely full.
Pistooli naksahti poikki.	The nozzle clicked off.
Bensaa läikkyi vähän ohi.	A little bit of gas spilled.
Pyyhin roiskeet paperilla.	I'll wipe the spills with paper.
Tällä asemalla on usein jonoa.	This station often has a queue.
E-Flexifuel on ympäristöystävällisempää.	E-Flexifuel is more environmentally friendly.
Voiko täällä tankata kaasua?	Can I fill up with gas here?
Etsin sähköauton latauspistettä.	I'm looking for an electric car charging station.
Lataus kestää noin puoli tuntia.	The charging takes about half an hour.
Onko tämä pikalaturi?	Is this a fast charger?
Miten lataus maksetaan?	How is the charging paid for?
Tarvitsen sovelluksen lataamista varten.	I need an app for charging.
Akku on melkein täynnä.	The battery is almost full.
Voisin ottaa kahvin odotellessa.	I could have a coffee while I wait.
Polttoaineen hinta vaihtelee päivittäin.	The price of fuel varies daily.
Aamulla on yleensä kalliimpaa.	It's usually more expensive in the morning.
Illalla hinta saattaa laskea.	In the evening, the price might drop.
Kannattaa vertailla hintoja.	It's worth comparing prices.
Tuo asema on yleensä halvin.	That station is usually the cheapest.
Tankkaan aina, kun hinta on alhaalla.	I always fill up when the price is low.
Pitäisikö minun valita 95E10 vai 98E5?	Should I choose 95E10 or 98E5?
Autoni käyttöohje suosittelee 98-oktaanista.	My car's manual recommends 98 octane.
Uudemmat autot toimivat yleensä E10-bensiinillä.	Newer cars usually run on E10 gasoline.
Väärä polttoaine voi rikkoa moottorin.	The wrong fuel can damage the engine.
Oletko varma, että tämä on oikea pumppu?	Are you sure this is the right pump?
Diesel-pistooli on yleensä erikokoinen.	The diesel nozzle is usually a different size.
Vihreä kahva on bensiinille.	The green handle is for petrol.
Musta kahva on dieselille.	The black handle is for diesel.
Älä tupakoi tankatessasi.	Do not smoke while refueling.
Sammuta moottori tankkauksen ajaksi.	Turn off the engine while refueling.
Puhelimen käyttöä ei suositella.	Using a phone is not recommended.
Staattinen sähkö voi olla vaarallista.	Static electricity can be dangerous.
Kosketa auton metalliosaa ennen tankkaamista.	Touch a metal part of the car before refueling.
Tarkistan nestetasot ennen pitkää matkaa.	I'll check the fluid levels before a long trip.
Jäähdytysnestettä näyttää olevan tarpeeksi.	There seems to be enough coolant.
Lisään vähän lasinpesunestettä.	I'll add a bit of windshield washer fluid.
Kaikki näyttää olevan kunnossa.	Everything seems to be in order.
Nyt olen valmis jatkamaan matkaa.	Now I'm ready to continue my journey.
Maksoin mittarilla, joten voin lähteä heti.	I paid at the pump, so I can leave right away.
Montako kilometriä pääsee täydellä tankilla?	How many kilometers can you drive on a full tank?
Toimintasäde on noin 600 kilometriä.	The range is about 600 kilometers.
Riittääkö bensa perille asti?	Is there enough gas to get to the destination?
Seuraava huoltoasema on 50 kilometrin päässä.	The next gas station is 50 kilometers away.
Ajotietokone näyttää jäljellä olevan matkan.	The trip computer shows the remaining distance.
Valitsen maksutavaksi "Maksu kassalle".	I'll choose "Pay at cashier" as the payment method.
Numero 3, kiitos.	Number 3, please.
Se tekee 65 euroa.	That'll be 65 euros.
Lähimaksu, kiitos.	Contactless payment, please.
Haluatko kuitin?	Would you like a receipt?
Kyllä kiitos.	Yes, please.
Ei kiitos, en tarvitse kuittia.	No thanks, I don't need a receipt.
Kiitos, näkemiin.	Thank you, goodbye.
Tämä pumppu on epäkunnossa.	This pump is out of order.
Anteeksi, voisitteko siirtää autoanne?	Excuse me, could you move your car?
Blokkaat pumpun.	You're blocking the pump.
