Sähköt menivät poikki.	The power went out.
Koko katu on pimeänä.	The whole street is dark.
Sähkökatko alkoi noin puoli tuntia sitten.	The power outage started about half an hour ago.
Onko meillä paristoja tähän taskulamppuun?	Do we have batteries for this flashlight?
Nämä paristot taitavat olla tyhjät.	These batteries seem to be dead.
Kauppojen kassajärjestelmät eivät toimi ilman sähköä.	The stores' cash register systems don't work without electricity.
Onneksi lompakossa on vähän käteistä.	Luckily, there's some cash in my wallet.
Miten ihmiset pärjäsivät ennen sähköä?	How did people manage before electricity?
Tällainen tilanne laittaa asiat oikeisiin mittasuhteisiin.	A situation like this puts things into perspective.
Ihminen on todella riippuvainen sähköstä.	Humans are truly dependent on electricity.
Nyt vasta huomaa, kuinka moni asia vaatii sähköä.	Only now do you realize how many things require electricity.
Sähköliesi ei toimi.	The electric stove doesn't work.
Myöskään mikroaaltouuni ei ole käytössä.	The microwave oven is also out of commission.
Syödään tänään leipää ja hedelmiä.	Let's eat bread and fruit today.
Onneksi meillä on kaasugrilli takapihalla.	Luckily, we have a gas grill in the backyard.
Voisitko hakea lisää kynttilöitä varastosta?	Could you get more candles from the storage room?
Ole varovainen pimeässä portaikossa.	Be careful in the dark staircase.
On kummallisen hiljaista, kun mikään ei hurise.	It's strangely quiet when nothing is humming.
Edes ilmanvaihdon ääntä ei kuulu.	Not even the sound of the ventilation can be heard.
Sähköt ovat olleet poikki jo yli tunnin.	The power has been out for over an hour now.
Toivottavasti ne palaavat pian.	I hope they come back soon.
Nyt voisi vaikka ottaa nokoset.	Now I could even take a nap.
Luetaan kirjaa kynttilänvalossa.	Let's read a book by candlelight.
Hissiä ei saa käyttää sähkökatkon aikana.	The elevator must not be used during a power outage.
Onneksi asumme maantasalla.	Luckily, we live on the ground floor.
Puhelimen kenttä on todella heikko.	The phone's signal is really weak.
Matkapuhelinverkon tukiasemat tarvitsevat myös virtaa.	The mobile network's base stations also need power.
Internet-yhteys on poikki.	The internet connection is down.
Etätyön tekeminen on nyt mahdotonta.	Working remotely is impossible now.
Minun täytyy ilmoittaa esimiehelleni tilanteesta.	I need to inform my supervisor about the situation.
Pitäisiköhän meidän lähteä hotelliin yöksi?	I wonder if we should go to a hotel for the night.
Ei, eiköhän me täällä pärjätä ihan hyvin.	No, I'm sure we'll manage just fine here.
Meillä on paljon peittoja ja lämpimiä vaatteita.	We have plenty of blankets and warm clothes.
Nyt on hyvä hetki vain olla ja jutella.	Now is a good time to just be and talk.
Kuuntele, taisi kuulua jääkaapin ääni.	Listen, I think I heard the sound of the refrigerator.
Valot räpsähtivät päälle hetkeksi.	The lights flickered on for a moment.
Jee, sähköt tulivat takaisin!	Yay, the power came back!
Nyt täytyy käydä laittamassa laitteet takaisin päälle.	Now I have to go turn the appliances back on.
Digitaalikellot pitää asettaa uudelleen oikeaan aikaan.	The digital clocks need to be set to the correct time again.
Tarkistetaan, että pakastin käynnistyi uudelleen.	Let's check that the freezer has started up again.
Selvisimme tästäkin koettelemuksesta.	We survived this ordeal as well.
Ensi kerralla olemme paremmin varautuneita.	Next time we will be better prepared.
Sähkökatko opettaa arvostamaan arjen mukavuuksia.	A power outage teaches you to appreciate everyday comforts.
Vedenkeitin ei toimi, joten keitän veden kattilassa liedellä.	The kettle isn't working, so I'll boil water in a pot on the stove.
Sytytin kaikki kynttilät, joita löysin.	I lit all the candles I could find.
Lämpötila sisällä alkaa laskea.	The temperature inside is starting to drop.
Onneksi ulkona ei ole kova pakkanen.	Luckily, it's not freezing hard outside.
