Menetkö naimisiin kanssani?	Will you marry me?
He ovat niin iloisia puolestamme.	They are so happy for us.
Haluatko auttaa minua häävalmisteluissa?	Do you want to help me with the wedding preparations?
Meidän täytyy laatia vieraslista.	We need to make a guest list.
Minkä väriteeman haluaisit häihin?	What color theme would you like for the wedding?
Olen aina haaveillut prinsessahäistä.	I have always dreamed of a princess wedding.
Mielestäni yksinkertainen on kaunista.	I think simple is beautiful.
Morsiusneidot käyttävät vaaleanpunaisia mekkoja.	The bridesmaids will wear pink dresses.
Sulhaspojat pukeutuvat tummiin pukuihin.	The groomsmen will wear dark suits.
Olemme varanneet kirkon ja juhlapaikan.	We have booked the church and the reception venue.
Tarvitsemme vielä hääbändin.	We still need a wedding band.
Lähetetäänkö sähköiset vai paperiset kutsut?	Should we send electronic or paper invitations?
Säästää päivämäärä -kortit ovat jo postissa.	The save-the-date cards are already in the mail.
Kävin sovittamassa sormuksia eilen.	I went to try on rings yesterday.
Tämä timantti on niin kirkas.	This diamond is so bright.
Valitsimme valkokultaiset vihkisormukset.	We chose white gold wedding rings.
Sormukseeni kaiverretaan päivämäärä.	My ring will be engraved with the date.
En voi uskoa, että menemme naimisiin.	I can't believe we're getting married.
Olen niin innoissani tulevaisuudestamme.	I'm so excited about our future.
Rakas, sinusta tulee vaimoni.	My love, you will become my wife.
Sinusta tulee aviomieheni.	You will become my husband.
Lupasimme rakastaa toisiamme ikuisesti.	We promised to love each other forever.
Häävalat olivat hyvin koskettavat.	The wedding vows were very touching.
Morsiamen isä piti hienon puheen.	The father of the bride gave a great speech.
Kakun leikkaaminen oli hauska hetki.	Cutting the cake was a fun moment.
Heitän morsiuskimpun pian.	I will throw the bridal bouquet soon.
Kuka nappaa sukkanauhan?	Who will catch the garter?
Juhlat jatkuvat myöhään yöhön.	The party will continue late into the night.
Olemme virallisesti herra ja rouva Virtanen.	We are officially Mr. and Mrs. Virtanen.
Kiitos kaikille, jotka tulitte.	Thank you all for coming.
Häämatkamme suuntautuu Italiaan.	Our honeymoon will be in Italy.
Vietämme kaksi viikkoa Amalfin rannikolla.	We will spend two weeks on the Amalfi Coast.
En malta odottaa, että saamme rentoutua yhdessä.	I can't wait for us to relax together.
Aloitamme uuden luvun elämässämme.	We are starting a new chapter in our lives.
Haluamme perustaa perheen muutaman vuoden kuluttua.	We want to start a family in a few years.
Avioliitto on kumppanuutta.	Marriage is a partnership.
Tukemme toisiamme hyvinä ja huonoina aikoina.	We will support each other through good times and bad.
Rakkaus on kärsivällinen, rakkaus on lempeä.	Love is patient, love is kind.
Olet sielunkumppanini.	You are my soulmate.
Hän kosi minua Eiffel-tornissa.	He proposed to me at the Eiffel Tower.
Se oli hyvin romanttista.	It was very romantic.
Kihlajaiskuvamme otettiin puistossa.	Our engagement photos were taken in the park.
Polttarit ovat ensi viikonloppuna.	The bachelor/bachelorette party is next weekend.
Mitä aiot pukea häihin?	What are you going to wear to the wedding?
Vielä on niin paljon suunniteltavaa.	There is still so much to plan.
Muista nauttia prosessista.	Remember to enjoy the process.
Onko sinulla jotain vanhaa, uutta, lainattua ja sinistä?	Do you have something old, new, borrowed, and blue?
Harjoittelemme häävalssia olohuoneessa.	We are practicing our wedding waltz in the living room.
Toivottavasti sää on hyvä hääpäivänämme.	I hope the weather is good on our wedding day.
Jos sataa, se tietää onnea.	If it rains, it brings good luck.
En voi kuvitella elämääni ilman sinua.	I can't imagine my life without you.
Teemme toisistamme parempia ihmisiä.	We make each other better people.
Avioliitto on matka, ei määränpää.	Marriage is a journey, not a destination.
Olen valmis tähän seikkailuun kanssasi.	I am ready for this adventure with you.
Kippis tulevaisuudellemme!	Cheers to our future!
Nyt olemme aviopari.	Now we are a married couple.
Tuntuu hyvältä sanoa "vaimoni".	It feels good to say "my wife".
Tuntuu hyvältä sanoa "mieheni".	It feels good to say "my husband".
