Mitä kuuluu?	How are you doing?
Mikä sen nimi on?	What's its name?
Hänen nimensä on Nöpö.	Her name is Nöpö.
Sitten sinulla on aina seuraa kotona.	Then you always have company at home.
Kyllä, hän on melkoinen persoonallisuus.	Yes, she's quite a character.
Miten päädyit töihin tähän yritykseen?	How did you end up working for this company?
Näin työpaikkailmoituksen ja päätin hakea.	I saw a job advertisement and decided to apply.
Kuinka kauan olet ollut täällä?	How long have you been here?
Kohta tulee kolme vuotta täyteen.	It will be three years soon.
Aika todellakin lentää.	Time really does fly.
Oletko kotoisin Tampereelta?	Are you originally from Tampere?
En, muutin tänne opintojen perässä vuosia sitten.	No, I moved here for my studies years ago.
Mistä päin Suomea olet kotoisin?	Which part of Finland are you from?
Savosta.	From Savo.
Sen kuulee hieman sinun puheestasi.	You can hear it a little in your speech.
Niinkö? En itse sitä huomaa.	Really? I don't notice it myself.
Tämä pannu on melkein tyhjä.	This pot is almost empty.
Minä voin keittää seuraavan satsin.	I can brew the next batch.
Haluatko kahvisi sokerilla?	Do you want your coffee with sugar?
Ei kiitos, juon sen mustana.	No thanks, I drink it black.
Minulle pieni tilkka maitoa, kiitos.	Just a small splash of milk for me, please.
Selvä homma.	Alright.
Onpa ihana istahtaa hetkeksi alas.	It's wonderful to sit down for a moment.
Todellakin, selkä on aivan jumissa istumisesta.	Absolutely, my back is all stiff from sitting.
Onko sinulla ollut paljon kokouksia tänään?	Have you had many meetings today?
Koko aamupäivä meni palavereissa putkeen.	The entire morning was spent in back-to-back meetings.
Minulla on onneksi ollut rauhallinen päivä.	Luckily, I've had a calm day.
Mitä teidän osastollenne kuuluu?	What's new in your department?
Saimme juuri uuden harjoittelijan.	We just got a new intern.
Ai kiva, kuka hän on?	Oh nice, who is he/she?
Hänen nimensä on Matti ja hän aloitti eilen.	His name is Matti and he started yesterday.
Hän vaikuttaa todella fiksulta ja innokkaalta.	He seems really smart and enthusiastic.
Olen kuullut hänestä pelkkää hyvää.	I've heard nothing but good things about him.
Toivottavasti hän viihtyy meillä.	I hope he enjoys it here with us.
Aika näyttää, miten hän sopeutuu.	Time will tell how he adapts.
Oletko jo testannut sitä uutta ohjelmistoa?	Have you tested the new software yet?
En vielä, onko se hyvä?	Not yet, is it any good?
Paljon käyttäjäystävällisempi kuin edellinen.	Much more user-friendly than the previous one.
Hienoa kuulla, vanha oli todella kankea.	Great to hear, the old one was really clumsy.
Nyt työnteko on sujuvampaa.	Now working is smoother.
Taidan hakea vielä toisen kupillisen.	I think I'll get another cup.
Älä juo liikaa, muuten et saa yöllä unta.	Don't drink too much, otherwise you won't sleep at night.
Ei hätää, minuun kofeiini ei vaikuta niin paljon.	No worries, caffeine doesn't affect me that much.
Minä en voi juoda kahvia enää lounaan jälkeen.	I can't drink coffee after lunch anymore.
Minä siirryn yleensä teehen iltapäivisin.	I usually switch to tea in the afternoons.
Mikä on suosikkiteesi?	What is your favorite tea?
Musta tee bergamotilla on klassikko.	Black tea with bergamot is a classic.
Kuulostaa rentouttavalta.	Sounds relaxing.
Pitäisi varmaan itsekin kokeilla.	Maybe I should try it too.
No niin, eiköhän palata takaisin sorvin ääreen.	Alright, I guess we should get back to the grindstone.
Joo, työt eivät tekemällä lopu.	Yeah, the work never ends by doing it.
Nähdään myöhemmin lounaalla!	See you later at lunch!
Mukavaa päivänjatkoa!	Have a good rest of the day!
Samoin sinulle!	Same to you!
